e951  # ten_k
e1fe  # add_to_home_screen
e39d  # add_to_photos
e05c  # add_to_queue
ef3c  # addchart
eada  # adf_scanner
e39e  # adjust
e48d  # admin_meds
ef3d  # admin_panel_settings
e762  # ads_click
f888  # agender
ea79  # agriculture
efd8  # air
e2ca  # air_freshener
e829  # air_purifier_gen
e630  # airline_seat_flat
e631  # airline_seat_flat_angled
e632  # airline_seat_individual_suite
e633  # airline_seat_legroom_extra
e634  # airline_seat_legroom_normal
e635  # airline_seat_legroom_reduced
e636  # airline_seat_recline_extra
e637  # airline_seat_recline_normal
e7d0  # airline_stops
e7ca  # airlines
efd9  # airplane_ticket
e53d  # airplanemode_active
e194  # airplanemode_inactive
e055  # airplay
eb3c  # airport_shuttle
f154  # airware
e29c  # airwave
e855  # alarm
e856  # alarm_add
e857  # alarm_off
e858  # alarm_on
f6b0  # alarm_smart_wake
e019  # album
e356  # align_center
f797  # align_end
f796  # align_flex_center
f795  # align_flex_end
f794  # align_flex_start
e00f  # align_horizontal_center
e00d  # align_horizontal_left
e010  # align_horizontal_right
f793  # align_items_stretch
f792  # align_justify_center
f791  # align_justify_flex_end
f790  # align_justify_flex_start
f78f  # align_justify_space_around
f78e  # align_justify_space_between
f78d  # align_justify_space_even
f78c  # align_justify_stretch
f78b  # align_self_stretch
f78a  # align_space_around
f789  # align_space_between
f788  # align_space_even
f787  # align_start
f786  # align_stretch
e015  # align_vertical_bottom
e011  # align_vertical_center
e00c  # align_vertical_top
e97f  # all_inbox
eb3d  # all_inclusive
e093  # all_match
e90b  # all_out
e094  # allergies
e64e  # allergy
f184  # alt_route
e0e6  # alternate_email
f873  # altitude
f6c4  # ambient_screen
f803  # ambulance
f802  # amend
ea13  # amp_stories
ef3e  # analytics
f1cd  # anchor
e859  # android
e71c  # animation
e87f  # announcement
efda  # aod
f89f  # aod_tablet
f6ac  # aod_watch
ea40  # apartment
f1b7  # api
f88e  # apk_document
f88f  # apk_install
f72f  # app_badging
ef3f  # app_blocking
ef40  # app_registration
ef41  # app_settings_alt
eae4  # app_shortcut
e982  # approval
f84a  # approval_delegation
e5c3  # apps
e7cc  # apps_outage
ea3b  # architecture
e149  # archive
e770  # area_chart
e78a  # arming_countdown
e5c4  # arrow_back
e5e0  # arrow_back_ios
e2ea  # arrow_back_ios_new
f181  # arrow_circle_down
eaa7  # arrow_circle_left
eaaa  # arrow_circle_right
f182  # arrow_circle_up
e5db  # arrow_downward
e5c5  # arrow_drop_down
e5c6  # arrow_drop_down_circle
e5c7  # arrow_drop_up
e5c8  # arrow_forward
e5e1  # arrow_forward_ios
f837  # arrow_insert
e5de  # arrow_left
f8ce  # arrow_outward
f69b  # arrow_range
e5df  # arrow_right
e941  # arrow_right_alt
f82f  # arrow_selector_tool
f72e  # arrow_top_left
f72d  # arrow_top_right
e5d8  # arrow_upward
f8ab  # arrows_more_down
f8ac  # arrows_more_up
f72c  # arrows_outward
e060  # art_track
ef42  # article
e85b  # aspect_ratio
e85c  # assessment
e85d  # assignment
f848  # assignment_add
e85e  # assignment_ind
e85f  # assignment_late
e860  # assignment_return
e861  # assignment_returned
e862  # assignment_turned_in
f8d5  # assist_walker
e39f  # assistant
e988  # assistant_direction
e989  # assistant_navigation
f6c1  # assistant_on_hub
ea1a  # assistant_photo
eb6f  # assured_workload
f1d9  # astrophotography_auto
f1da  # astrophotography_off
e573  # atm
ebc7  # atr
ea5e  # attach_email
e226  # attach_file
f841  # attach_file_add
e227  # attach_money
e2bc  # attachment
ea52  # attractions
efdb  # attribution
eb82  # audio_file
e405  # audiotrack
f8ad  # auto_activity_zone
e65f  # auto_awesome
e660  # auto_awesome_mosaic
e661  # auto_awesome_motion
ea4c  # auto_delete
f83e  # auto_detect_voice
e663  # auto_fix
e663  # auto_fix_high
e664  # auto_fix_normal
e665  # auto_fix_off
e4fb  # auto_graph
f6be  # auto_label
f6bf  # auto_meeting_room
ec20  # auto_mode
f219  # auto_read_pause
f216  # auto_read_play
e214  # auto_schedule
e666  # auto_stories
f6c0  # auto_videocam
efdc  # autofps_select
f6b6  # autopause
f84b  # autopay
f6b5  # autoplay
e863  # autorenew
e01b  # av_timer
f6bb  # avg_pace
f813  # avg_time
f6ec  # azm
f19b  # baby_changing_station
e764  # back_hand
f72b  # back_to_tab
f7ce  # background_blur_full
f7cd  # background_blur_light
f79e  # background_dot_large
f79d  # background_grid_small
f20a  # background_replace
f7ed  # backlight_high
f7ec  # backlight_low
f19c  # backpack
e14a  # backspace
e864  # backup
ef43  # backup_table
ea67  # badge
f156  # badge_critical_battery
ea53  # bakery_dining
eaf6  # balance
e58f  # balcony
e172  # ballot
e26b  # bar_chart
e70b  # barcode
f85c  # barcode_reader
e70c  # barcode_scanner
f871  # barefoot
f0f5  # batch_prediction
f6fb  # bath_outdoor
f6fa  # bath_private
f6f9  # bath_public_large
efdd  # bathroom
ea41  # bathtub
ebdc  # battery_0_bar
ebd9  # battery_1_bar
f0a1  # battery_20
ebe0  # battery_2_bar
f0a1  # battery_30
ebdd  # battery_3_bar
ebe2  # battery_4_bar
f0a1  # battery_50
ebd4  # battery_5_bar
f0a1  # battery_60
ebd2  # battery_6_bar
f0a1  # battery_80
f0a1  # battery_90
e19c  # battery_alert
f7eb  # battery_change
f0a2  # battery_charging_20
f0a2  # battery_charging_30
f0a2  # battery_charging_50
f0a2  # battery_charging_60
f0a2  # battery_charging_80
f0a2  # battery_charging_90
f0a2  # battery_charging_full
f7ea  # battery_error
f0a1  # battery_full
f13b  # battery_full_alt
f8ae  # battery_horiz_000
f8af  # battery_horiz_050
f8b0  # battery_horiz_075
f155  # battery_low
f7e9  # battery_plus
e206  # battery_profile
efde  # battery_saver
f0a1  # battery_std
e1a6  # battery_unknown
f8b1  # battery_vert_005
f8b2  # battery_vert_020
f8b3  # battery_vert_050
f156  # battery_very_low
eb3e  # beach_access
efdf  # bed
efe0  # bedroom_baby
efe1  # bedroom_child
efe2  # bedroom_parent
ef44  # bedtime
eb76  # bedtime_off
e52d  # beenhere
f1f4  # bento
f6eb  # bia
ef45  # bike_scooter
ea3a  # biotech
e828  # blanket
efe3  # blender
f8d6  # blind
e286  # blinds
ec1f  # blinds_closed
f326  # block
e097  # blood_pressure
efe4  # bloodtype
e1a7  # bluetooth
e1aa  # bluetooth_audio
e1a8  # bluetooth_connected
e1a9  # bluetooth_disabled
efe5  # bluetooth_drive
e1aa  # bluetooth_searching
e3a2  # blur_circular
e3a3  # blur_linear
e84c  # blur_medium
e3a4  # blur_off
e3a5  # blur_on
e8cf  # blur_short
e098  # body_fat
e099  # body_system
ea0b  # bolt
e865  # book
f217  # book_online
e8e7  # bookmark
e598  # bookmark_add
e599  # bookmark_added
e8e7  # bookmark_border
f7b1  # bookmark_manager
e59a  # bookmark_remove
e98b  # bookmarks
e228  # border_all
e229  # border_bottom
e22a  # border_clear
e22b  # border_color
e22c  # border_horizontal
e22d  # border_inner
e22e  # border_left
e22f  # border_outer
e230  # border_right
e231  # border_style
e232  # border_top
e233  # border_vertical
f72a  # bottom_panel_close
f729  # bottom_panel_open
eb67  # boy
e06b  # branding_watermark
ea54  # breakfast_dining
f0ba  # breaking_news_alt_1
f856  # breastfeeding
e3fa  # brightness_1
f036  # brightness_2
e3a8  # brightness_3
e3a9  # brightness_4
e3aa  # brightness_5
e3ab  # brightness_6
e3ac  # brightness_7
e1ab  # brightness_auto
f7e8  # brightness_empty
e1ac  # brightness_high
e1ad  # brightness_low
e1ae  # brightness_medium
e016  # bring_your_own_ip
f8f8  # broadcast_on_home
f8f9  # broadcast_on_personal
e3ad  # broken_image
f8a5  # browse_activity
ebd1  # browse_gallery
ef47  # browser_not_supported
e7cf  # browser_updated
ea73  # brunch_dining
e3ae  # brush
e6dd  # bubble_chart
e868  # bug_report
e869  # build
ef48  # build_circle
e591  # bungalow
e43c  # burst_mode
e98f  # bus_alert
e7ee  # business
eb3f  # business_center
f84c  # business_chip
e589  # cabin
efe6  # cable
e86a  # cached
e7e9  # cake
f85b  # cake_add
ea5f  # calculate
ef85  # calendar_add_on
f0bb  # calendar_apps_script
ebcc  # calendar_month
e935  # calendar_today
e936  # calendar_view_day
efe7  # calendar_view_month
efe8  # calendar_view_week
f0d4  # call
f0bc  # call_end
f0bc  # call_end_alt
e0b2  # call_made
e0b3  # call_merge
e0b4  # call_missed
e0e4  # call_missed_outgoing
e0b5  # call_received
e0b6  # call_split
e06c  # call_to_action
e3af  # camera
e412  # camera_alt
e8fc  # camera_enhance
e3b1  # camera_front
efe9  # camera_indoor
efea  # camera_outdoor
e3b2  # camera_rear
e3b3  # camera_roll
f7a6  # camera_video
efeb  # cameraswitch
ef49  # campaign
f8a2  # camping
e888  # cancel
e0e9  # cancel_presentation
ea39  # cancel_schedule_send
ead4  # candlestick_chart
f728  # captive_portal
f727  # capture
ebf2  # car_crash
ea55  # car_rental
ea56  # car_repair
e8f6  # card_giftcard
e8f7  # card_membership
e8f8  # card_travel
e09c  # cardiology
f1f8  # carpenter
e992  # cases
eb40  # casino
e307  # cast
e308  # cast_connected
efec  # cast_for_education
eab1  # castle
e574  # category
ea65  # celebration
f82e  # cell_merge
ebba  # cell_tower
e0ec  # cell_wifi
e3b4  # center_focus_strong
e3b5  # center_focus_weak
efed  # chair
efee  # chair_alt
e585  # chalet
e2e7  # change_circle
e86b  # change_history
e2ae  # charger
f19d  # charging_station
e473  # chart_data
e0c9  # chat
f0f3  # chat_add_on
f0bd  # chat_apps_script
e0cb  # chat_bubble
e0cb  # chat_bubble_outline
f7ac  # chat_error
f6bd  # chat_paste_go
e5ca  # check
e834  # check_box
e835  # check_box_outline_blank
e86c  # check_circle
e86c  # check_circle_filled
e86c  # check_circle_outline
f6f6  # check_in_out
f88a  # check_indeterminate_small
f88b  # check_small
e6b1  # checklist
e6b3  # checklist_rtl
f19e  # checkroom
f6a8  # cheer
e5cb  # chevron_left
e5cc  # chevron_right
eb41  # child_care
eb42  # child_friendly
f821  # chip_extraction
f7cc  # chrome_maximize
f7cb  # chrome_minimize
e86d  # chrome_reader_mode
f7ca  # chrome_restore
f7c9  # chrome_tote
f17b  # chromecast_2
e83c  # chromecast_device
ebb2  # chronic
eaae  # church
f853  # cinematic_blur
ef4a  # circle
e994  # circle_notifications
f0bf  # clarify
e865  # class_
f21f  # clean_hands
f8b4  # cleaning_bucket
f0ff  # cleaning_services
e5cd  # clear
e0b8  # clear_all
f157  # clear_day
f159  # clear_night
f8b5  # climate_mini_split
e09e  # clinical_notes
f726  # clock_loader_10
f725  # clock_loader_20
f724  # clock_loader_40
f723  # clock_loader_60
f722  # clock_loader_80
f721  # clock_loader_90
e5cd  # close
f1cf  # close_fullscreen
e996  # closed_caption
f1dc  # closed_caption_disabled
e996  # closed_caption_off
f15c  # cloud
e2be  # cloud_circle
e2bf  # cloud_done
e2c0  # cloud_download
e2c1  # cloud_off
f15c  # cloud_queue
eb5a  # cloud_sync
e2c3  # cloud_upload
f15c  # cloudy
f15c  # cloudy_filled
e810  # cloudy_snowing
e7b0  # co2
eaf0  # co_present
e86f  # code
f84d  # code_blocks
e4f3  # code_off
efef  # coffee
eff0  # coffee_maker
e09f  # cognition
e3d3  # collections
e431  # collections_bookmark
e40a  # color_lens
e3b8  # colorize
e24c  # comment
ea4e  # comment_bank
e7a2  # comments_disabled
eaf5  # commit
e27c  # communication
e940  # commute
e3b9  # compare
e915  # compare_arrows
e57c  # compass_calibration
f1e7  # component_exchange
e761  # compost
e94d  # compress
e31e  # computer
e0a0  # conditions
e638  # confirmation_number
e0a1  # congenital
f223  # connect_without_contact
e998  # connected_tv
e7c9  # connecting_airports
ea3c  # construction
f8d1  # contact_emergency
e0d0  # contact_mail
f22e  # contact_page
f0c0  # contact_phone
f0c0  # contact_phone_filled
e94c  # contact_support
ea71  # contactless
f858  # contactless_off
e0ba  # contacts
e14d  # content_copy
e14e  # content_cut
e14f  # content_paste
ea8e  # content_paste_go
e4f8  # content_paste_off
ea9b  # content_paste_search
eb37  # contrast
ec72  # contrast_rtl_off
e074  # control_camera
e3ba  # control_point
e3bb  # control_point_duplicate
e83d  # controller_gen
f0c1  # conversion_path
f7b4  # conversion_path_off
f867  # conveyor_belt
eaac  # cookie
f79a  # cookie_off
e2b6  # cooking
e276  # cool_to_dry
e2ec  # copy_all
e90c  # copyright
f221  # coronavirus
f1d0  # corporate_fare
e587  # cottage
f785  # counter_0
f784  # counter_1
f783  # counter_2
f782  # counter_3
f781  # counter_4
f780  # counter_5
f77f  # counter_6
f77e  # counter_7
f77d  # counter_8
f77c  # counter_9
f1f7  # countertops
f345  # create
e2cc  # create_new_folder
e8a1  # credit_card
e4f4  # credit_card_off
eff1  # credit_score
e588  # crib
ebe9  # crisis_alert
e3be  # crop
e3bc  # crop_16_9
e3bd  # crop_3_2
e3bf  # crop_5_4
e3c0  # crop_7_5
e3c6  # crop_din
e3c2  # crop_free
e3c3  # crop_landscape
e3f4  # crop_original
e3c5  # crop_portrait
e437  # crop_rotate
e3c6  # crop_square
e799  # cruelty_free
eb93  # css
ebc5  # currency_bitcoin
eb70  # currency_exchange
eafa  # currency_franc
eaef  # currency_lira
eaf1  # currency_pound
eaec  # currency_ruble
eaf7  # currency_rupee
eafb  # currency_yen
eaf9  # currency_yuan
ec1e  # curtains
ec1d  # curtains_closed
f08b  # cut
f854  # cycle
ebd5  # cyclone
e99a  # dangerous
e51c  # dark_mode
e871  # dashboard
e99b  # dashboard_customize
f7f6  # data_alert
ead1  # data_array
f7f2  # data_check
e76f  # data_exploration
f7f5  # data_info_alert
ead3  # data_object
eff2  # data_saver_off
eff3  # data_saver_on
eb9f  # data_thresholding
eff2  # data_usage
f20e  # database
f8ee  # dataset
f8ef  # dataset_linked
e916  # date_range
eb77  # deblur
e0a5  # deceased
f82d  # decimal_decrease
f82c  # decimal_increase
ea42  # deck
e3c7  # dehaze
e872  # delete
e92b  # delete_forever
e872  # delete_outline
e16c  # delete_sweep
e489  # demography
eba9  # density_large
eb9e  # density_medium
eba8  # density_small
e0a6  # dentistry
e576  # departure_board
f720  # deployed_code
e0a7  # dermatology
e873  # description
ebb6  # deselect
f10a  # design_services
f8f4  # desk
f7fa  # deskphone
e99d  # desktop_access_disabled
e30b  # desktop_mac
e30c  # desktop_windows
e3c8  # details
e29f  # detection_and_zone
e282  # detector
e1f7  # detector_alarm
e204  # detector_battery
e2af  # detector_co
e223  # detector_offline
e285  # detector_smoke
e1e8  # detector_status
e30d  # developer_board
e4ff  # developer_board_off
e1b0  # developer_mode
e335  # device_hub
e8b3  # device_reset
e1ff  # device_thermostat
e339  # device_unknown
e326  # devices
ebde  # devices_fold
f7a5  # devices_off
e337  # devices_other
f6ab  # devices_wearables
f879  # dew_point
e0a8  # diagnosis
e0bb  # dialer_sip
e0bc  # dialpad
ead5  # diamond
eb7d  # difference
f1de  # digital_out_of_home
eff4  # dining
ea57  # dinner_dining
e52e  # directions
f880  # directions_alt
f881  # directions_alt_off
e52f  # directions_bike
eff5  # directions_boat
eff5  # directions_boat_filled
eff6  # directions_bus
eff6  # directions_bus_filled
eff7  # directions_car
eff7  # directions_car_filled
f10f  # directions_off
eff8  # directions_railway
eff8  # directions_railway_filled
e566  # directions_run
effa  # directions_subway
effa  # directions_subway_filled
effa  # directions_transit
effa  # directions_transit_filled
e536  # directions_walk
ef4b  # dirty_lens
f230  # disabled_by_default
e76e  # disabled_visible
e610  # disc_full
e018  # discover_tune
e832  # dishwasher_gen
f7e7  # display_external_input
eb97  # display_settings
f6ea  # distance
f8d7  # diversity_1
f8d8  # diversity_2
f8d9  # diversity_3
f857  # diversity_4
e875  # dns
f326  # do_disturb
f08d  # do_disturb_alt
f329  # do_disturb_off
f08f  # do_disturb_on
f08d  # do_not_disturb
f326  # do_not_disturb_alt
f329  # do_not_disturb_off
f08f  # do_not_disturb_on
effb  # do_not_disturb_on_total_silence
f19f  # do_not_step
f1b0  # do_not_touch
e30e  # dock
f7e6  # dock_to_bottom
f7e5  # dock_to_left
f7e4  # dock_to_right
f0c2  # docs_add_on
f0c3  # docs_apps_script
e5fa  # document_scanner
e7ee  # domain
eb62  # domain_add
e0ef  # domain_disabled
ef4c  # domain_verification
f7b0  # domain_verification_off
e876  # done
e877  # done_all
e92f  # done_outline
e917  # donut_large
e918  # donut_small
effc  # door_back_door
effd  # door_front_door
e77c  # door_open
e28a  # door_sensor
effe  # door_sliding
efff  # doorbell
e1e7  # doorbell_3p
e1f3  # doorbell_chime
ea50  # double_arrow
e509  # downhill_skiing
f090  # download
f091  # download_done
f000  # download_for_offline
f001  # downloading
e66d  # draft
e7b3  # draft_orders
e151  # drafts
f71f  # drag_click
e25d  # drag_handle
e945  # drag_indicator
f71e  # drag_pan
e746  # draw
e210  # dresser
eff7  # drive_eta
e675  # drive_file_move
e675  # drive_file_move_outline
e76d  # drive_file_move_rtl
e9a2  # drive_file_rename_outline
e9a3  # drive_folder_upload
f1b3  # dry
ea58  # dry_cleaning
f6cf  # dual_screen
e9a5  # duo
e1b2  # dvr
ea14  # dynamic_feed
f1bf  # dynamic_form
f11a  # e911_avatar
f119  # e911_emergency
f002  # e_mobiledata
f7e3  # e_mobiledata_badge
f003  # earbuds
f004  # earbuds_battery
e2ba  # early_on
f1df  # east
f80f  # ecg
f6e9  # ecg_heart
ea35  # eco
f6e8  # eda
f005  # edgesensor_high
f006  # edgesensor_low
f345  # edit
e578  # edit_attributes
e742  # edit_calendar
f88c  # edit_document
e568  # edit_location
e1c5  # edit_location_alt
e745  # edit_note
e525  # edit_notifications
e950  # edit_off
ef4d  # edit_road
f88d  # edit_square
eacc  # egg
eac8  # egg_alt
e8fb  # eject
f21a  # elderly
eb69  # elderly_woman
eb1b  # electric_bike
ec1c  # electric_bolt
eb1c  # electric_car
ec1b  # electric_meter
eb1d  # electric_moped
eb1e  # electric_rickshaw
eb1f  # electric_scooter
f102  # electrical_services
f6e7  # elevation
f1a0  # elevator
e159  # email
e1eb  # emergency
f15d  # emergency_heat
e82a  # emergency_home
ebf4  # emergency_recording
ebf6  # emergency_share
ea22  # emoji_emotions
ea1a  # emoji_flags
ea1b  # emoji_food_beverage
ea1c  # emoji_nature
ea24  # emoji_objects
ea1d  # emoji_people
ea1e  # emoji_symbols
ea1f  # emoji_transportation
e5f3  # emoticon
f844  # empty_dashboard
f188  # enable
e0a9  # endocrinology
f15f  # energy_program_saving
f161  # energy_program_time_used
ec1a  # energy_savings_leaf
ea3d  # engineering
e63f  # enhanced_encryption
e0aa  # ent
f77b  # equal
e01d  # equalizer
e001  # error
f8b6  # error_circle_rounded_error
e49b  # error_med
e001  # error_outline
f1a1  # escalator
f1ac  # escalator_warning
ea15  # euro
e926  # euro_symbol
e56d  # ev_charger
f7e2  # ev_mobiledata_badge
ef8f  # ev_shadow
e56d  # ev_station
e878  # event
e614  # event_available
e615  # event_busy
e616  # event_note
eb7b  # event_repeat
e903  # event_seat
f238  # event_upcoming
f22f  # exclamation
f6e6  # exercise
e879  # exit_to_app
e94f  # expand
e7cd  # expand_circle_down
f830  # expand_content
e5ce  # expand_less
e5cf  # expand_more
e01e  # explicit
e87a  # explore
e9a8  # explore_off
e0ac  # export_notes
e3f6  # exposure
e3cb  # exposure_neg_1
e3cc  # exposure_neg_2
e800  # exposure_plus_1
e3ce  # exposure_plus_2
e3cf  # exposure_zero
e87b  # extension
e4f5  # extension_off
f6ee  # eyeglasses
f008  # face
f8da  # face_2
f8db  # face_3
f8dc  # face_4
f8dd  # face_5
f8de  # face_6
ef4e  # face_retouching_natural
f007  # face_retouching_off
f008  # face_unlock
f0c5  # fact_check
ebbc  # factory
e21c  # familiar_face_and_zone
e0ad  # family_history
f1a2  # family_restroom
e01f  # fast_forward
e020  # fast_rewind
e57a  # fastfood
e278  # faucet
e87e  # favorite
e87e  # favorite_border
ead8  # fax
e06d  # featured_play_list
e06e  # featured_video
f009  # feed
e87f  # feedback
e590  # female
f891  # femur
f892  # femur_alt
f1f6  # fence
f6e5  # fertile
ea68  # festival
e05d  # fiber_dvr
e061  # fiber_manual_record
e05e  # fiber_new
e06a  # fiber_pin
e062  # fiber_smart_record
e173  # file_copy
f090  # file_download
f091  # file_download_done
e4fe  # file_download_off
eaf3  # file_open
ea0e  # file_present
f09b  # file_upload
f886  # file_upload_off
e3d3  # filter
e3d0  # filter_1
e3d1  # filter_2
e3d2  # filter_3
e3d4  # filter_4
e3d5  # filter_5
e3d6  # filter_6
e3d7  # filter_7
e3d8  # filter_8
e3d9  # filter_9
e3da  # filter_9_plus
ef4f  # filter_alt
eb32  # filter_alt_off
e3db  # filter_b_and_w
e3dc  # filter_center_focus
e3dd  # filter_drama
e3de  # filter_frames
e3df  # filter_hdr
e152  # filter_list
e94e  # filter_list_alt
eb57  # filter_list_off
e3e0  # filter_none
e3e2  # filter_tilt_shift
e3e3  # filter_vintage
f84e  # finance_chip
e880  # find_in_page
e881  # find_replace
e90d  # fingerprint
f1d8  # fire_extinguisher
f1a3  # fire_hydrant
f8f2  # fire_truck
ea43  # fireplace
e5dc  # first_page
f77a  # fit_page
ea10  # fit_screen
f779  # fit_width
f6b3  # fitbit_arrow_downward
f6b2  # fitbit_arrow_upward
f6b1  # fitbit_check_small
eb43  # fitness_center
ea1a  # flag
eaf8  # flag_circle
ea1a  # flag_filled
ef50  # flaky
e3e4  # flare
e3e5  # flash_auto
e3e6  # flash_off
e3e7  # flash_on
f00a  # flashlight_off
f00b  # flashlight_on
f00c  # flatware
f778  # flex_direction
f777  # flex_no_wrap
f776  # flex_wrap
e539  # flight
e7cb  # flight_class
e904  # flight_land
e905  # flight_takeoff
e3e8  # flip
ea37  # flip_camera_android
ea38  # flip_camera_ios
e882  # flip_to_back
e883  # flip_to_front
f7c8  # float_landscape
f7c7  # float_portrait
ebe6  # flood
f6e4  # floor
e21e  # floor_lamp
f00d  # flourescent
e0ae  # flowsheet
e483  # fluid
f80d  # fluid_balance
f80c  # fluid_med
f00d  # fluorescent
e00b  # flutter_dash
f00e  # fmd_bad
e55f  # fmd_good
e818  # foggy
e2c7  # folder
ebbd  # folder_copy
eb34  # folder_delete
f775  # folder_managed
eb83  # folder_off
e2c8  # folder_open
e2c9  # folder_shared
e617  # folder_special
f774  # folder_supervised
eb2c  # folder_zip
f222  # follow_the_signs
e167  # font_download
e4f9  # font_download_off
f1f2  # food_bank
f893  # foot_bones
f87d  # footprint
ea99  # forest
eba0  # fork_left
ebac  # fork_right
f868  # forklift
e234  # format_align_center
e235  # format_align_justify
e236  # format_align_left
e237  # format_align_right
e238  # format_bold
e239  # format_clear
e23a  # format_color_fill
e23b  # format_color_reset
e23c  # format_color_text
f85d  # format_h1
f85e  # format_h2
f85f  # format_h3
f860  # format_h4
f861  # format_h5
f862  # format_h6
f863  # format_image_left
f864  # format_image_right
e23d  # format_indent_decrease
e23e  # format_indent_increase
f82b  # format_ink_highlighter
e23f  # format_italic
f773  # format_letter_spacing
e240  # format_line_spacing
e241  # format_list_bulleted
f849  # format_list_bulleted_add
e242  # format_list_numbered
e267  # format_list_numbered_rtl
eb65  # format_overline
e243  # format_paint
f865  # format_paragraph
e244  # format_quote
e25e  # format_shapes
e245  # format_size
e246  # format_strikethrough
f82a  # format_text_clip
f829  # format_text_overflow
f828  # format_text_wrap
e247  # format_textdirection_l_to_r
e248  # format_textdirection_r_to_l
e249  # format_underlined
f885  # format_underlined_squiggle
f0c7  # forms_add_on
f0c8  # forms_apps_script
eaad  # fort
e8af  # forum
f060  # forward
e056  # forward_10
e057  # forward_30
e058  # forward_5
f6f5  # forward_circle
f6f4  # forward_media
f187  # forward_to_inbox
f200  # foundation
f772  # frame_inspect
f8a6  # frame_person
f7d1  # frame_person_off
f771  # frame_reload
f770  # frame_source
eb44  # free_breakfast
e748  # free_cancellation
e769  # front_hand
f869  # front_loader
f212  # full_stacked_bar_chart
e5d0  # fullscreen
e5d1  # fullscreen_exit
f866  # function
e24a  # functions
f010  # g_mobiledata
f7e1  # g_mobiledata_badge
e927  # g_translate
f86f  # gallery_thumbnail
e30f  # gamepad
e30f  # games
f011  # garage
e82d  # garage_home
f8a9  # garden_cart
ec19  # gas_meter
e0f1  # gastroenterology
e277  # gate
e90e  # gavel
e749  # generating_tokens
e0f3  # genetics
e155  # gesture
f090  # get_app
e908  # gif
e7a3  # gif_box
eb68  # girl
e58b  # gite
f6e3  # glass_cup
f799  # globe_asia
f798  # globe_uk
e4a0  # glucose
f8a3  # glyphs
f71d  # go_to_line
eb45  # golf_course
f060  # google_plus_reshare
e840  # google_wifi
f012  # gpp_bad
f013  # gpp_good
f014  # gpp_maybe
e55c  # gps_fixed
e1b7  # gps_not_fixed
e1b6  # gps_off
e885  # grade
e3e9  # gradient
ea4f  # grading
e3ea  # grain
e1b8  # graphic_eq
f205  # grass
f015  # grid_3x3
f016  # grid_4x4
f017  # grid_goldenratio
f76f  # grid_guides
e3eb  # grid_off
e3ec  # grid_on
e9b0  # grid_view
ea21  # group
e7f0  # group_add
e747  # group_off
e7ad  # group_remove
e886  # group_work
f211  # grouped_bar_chart
f233  # groups
f8df  # groups_2
f8e0  # groups_3
e0f4  # gynecology
f018  # h_mobiledata
f7e0  # h_mobiledata_badge
f019  # h_plus_mobiledata
f7df  # h_plus_mobiledata_badge
e9b1  # hail
f894  # hand_bones
ef9c  # hand_gesture
